student_id,gender,age,parental_education,lunch_type,test_prep_course,attendance_rate,weekly_study_hours,math_score,reading_score,writing_score
STU00001,Male,18,Some College,Standard,None,65.2,6.0,97.1,99.3,96.6
STU00002,Female,16,Bachelor's,Standard,Completed,79.4,6.8,93.0,90.2,99.1
STU00003,Female,19,Master's,Free/Reduced,None,68.7,8.3,91.8,91.3,100.0
STU00004,Female,17,Bachelor's,Standard,Completed,94.6,5.8,100.0,100.0,100.0
STU00005,Male,17,Some College,Free/Reduced,None,78.8,4.2,79.6,80.2,78.4
STU00006,Male,17,Some College,Standard,Completed,67.9,3.7,88.5,93.3,88.8
STU00007,Male,15,High School,Free/Reduced,None,92.0,5.8,84.0,98.9,94.3
STU00008,Female,15,Some College,Free/Reduced,Completed,57.1,3.1,78.0,75.0,80.5
STU00009,Female,17,High School,Free/Reduced,Completed,78.4,6.4,80.4,84.2,81.8
STU00010,Female,18,Master's,Standard,None,86.7,5.5,98.8,97.3,95.2
STU00011,Male,18,Some College,Standard,Completed,67.7,2.1,79.1,78.4,
STU00012,Female,15,High School,Free/Reduced,None,74.8,1.9,59.4,,63.5
STU00013,Female,17,Some College,Standard,None,71.9,5.2,93.9,100.0,95.6
STU00014,Male,18,Some College,Standard,None,,4.3,79.3,88.7,85.6
STU00015,Male,15,Some College,Standard,None,80.9,7.0,100.0,100.0,99.5
STU00016,Male,17,No Diploma,Standard,None,,2.7,90.3,92.5,86.6
STU00017,Male,16,Master's,Standard,Completed,100.0,6.8,100.0,100.0,100.0
STU00018,Female,17,High School,Standard,Completed,89.1,6.9,88.1,88.2,84.7
STU00019,Male,17,No Diploma,Standard,Completed,,2.0,78.3,83.6,73.9
STU00020,Male,19,No Diploma,Standard,Completed,93.4,4.4,98.9,100.0,100.0
STU00021,Female,19,Some College,Standard,None,66.5,8.4,83.6,90.1,79.7
STU00022,Male,16,High School,Standard,None,73.6,6.0,97.9,100.0,100.0
STU00023,Male,16,No Diploma,Free/Reduced,None,91.4,4.8,80.0,84.4,86.7
STU00024,Male,17,Some College,Standard,None,72.1,7.1,83.8,82.6,89.7
STU00025,Male,18,Bachelor's,Standard,Completed,80.7,3.8,88.9,97.0,86.1
STU00026,Female,16,High School,Standard,Completed,71.6,4.2,80.4,92.1,88.4
STU00027,Male,17,High School,Standard,None,77.4,5.4,100.0,100.0,98.6
STU00028,Female,15,Some College,Standard,None,79.2,8.6,97.8,100.0,94.3
STU00029,Female,19,High School,Standard,None,85.7,2.7,74.1,,74.2
STU00030,Male,18,Some College,Free/Reduced,None,82.0,6.2,98.2,98.8,100.0
STU00031,Female,17,No Diploma,Standard,None,88.6,4.0,90.0,92.6,99.3
STU00032,Male,15,No Diploma,Free/Reduced,None,84.7,8.1,84.4,91.1,88.1
STU00033,Male,19,Some College,Free/Reduced,None,77.6,6.9,72.6,86.5,77.1
STU00034,Female,15,High School,Standard,Completed,72.7,4.8,84.6,93.7,86.7
STU00035,Female,17,No Diploma,Standard,None,69.0,6.5,93.8,91.7,87.0
STU00036,Female,16,Some College,Standard,Completed,47.3,3.6,,89.6,89.1
STU00037,Male,19,Master's,Free/Reduced,None,78.6,3.4,84.2,87.2,88.7
STU00038,Male,15,Bachelor's,Free/Reduced,None,66.3,11.3,91.0,97.3,86.8
STU00039,Female,16,Bachelor's,Free/Reduced,Completed,69.5,4.1,81.4,89.9,80.6
STU00040,Male,18,Bachelor's,Standard,None,76.4,5.4,94.4,97.4,96.6
STU00041,Male,17,Master's,Free/Reduced,None,73.7,4.0,75.7,75.9,74.1
STU00042,Female,17,Bachelor's,Free/Reduced,None,86.6,1.8,71.5,72.5,73.6
STU00043,Male,19,Bachelor's,Standard,Completed,78.0,2.4,100.0,100.0,100.0
STU00044,Female,15,Some College,Standard,None,99.5,5.8,100.0,,100.0
STU00045,Male,18,High School,Standard,None,100.0,1.5,93.4,98.2,86.1
STU00046,Female,19,Bachelor's,Standard,None,76.3,3.2,75.0,83.6,78.1
STU00047,Male,19,Master's,Free/Reduced,None,69.8,6.6,72.9,80.8,73.1
STU00048,Female,15,Some College,Standard,Completed,58.8,5.6,93.0,100.0,100.0
STU00049,Female,18,Bachelor's,Standard,Completed,100.0,4.0,100.0,100.0,100.0
STU00050,Male,15,Some College,Standard,None,71.3,3.9,87.8,95.3,93.2
STU00051,Female,17,Some College,Standard,None,73.5,2.4,78.3,90.4,76.5
STU00052,Female,16,Some College,Standard,Completed,71.6,10.6,100.0,,100.0
STU00053,Female,17,Some College,Free/Reduced,None,76.1,2.5,75.5,84.1,82.5
STU00054,Female,17,Some College,Standard,Completed,74.3,7.5,100.0,100.0,92.9
STU00055,Female,19,Bachelor's,Standard,None,89.9,0.0,89.7,89.3,85.8
STU00056,Female,17,Bachelor's,Standard,None,47.1,7.2,85.8,93.0,91.1
STU00057,Male,18,Master's,Standard,Completed,77.7,7.4,100.0,100.0,100.0
STU00058,Male,17,High School,Standard,None,88.6,2.7,81.8,96.9,89.8
STU00059,Male,18,Master's,Standard,Completed,71.7,3.5,95.7,,96.5
STU00060,Male,15,High School,Standard,Completed,87.1,7.7,78.8,94.8,81.4
STU00061,Male,19,High School,Standard,None,81.1,2.1,79.6,76.7,78.8
STU00062,Male,18,Bachelor's,Standard,Completed,71.4,6.1,99.4,93.0,94.5
STU00063,Female,17,High School,Standard,None,58.3,3.3,93.4,86.6,92.4
STU00064,Male,19,No Diploma,Free/Reduced,Completed,84.9,7.3,87.1,94.4,81.1
STU00065,Male,19,Some College,Standard,Completed,83.8,9.7,100.0,,100.0
STU00066,Female,18,Bachelor's,Free/Reduced,Completed,71.1,2.5,98.2,100.0,99.5
STU00067,Male,18,High School,Standard,Completed,89.1,6.5,98.1,100.0,93.7
STU00068,Female,16,Bachelor's,Standard,None,74.2,7.4,90.2,90.6,90.4
